LASTNAME,FIRSTNAME,MIDDLENAME,NAMESUFFIX,RADDNUMBER,RHALFCODE,RPREDIRECTION,RSTREETNAME,RPOSTDIRECTION,RAPARTMENTTYPE,RAPARTMENT,RADDRNONSTD,RCITY,RZIP5,RZIP4,MAILADD1,MAILADD2,MAILADD3,MAILADD4,DOB,GENDER,ENROLLMENT,OTHERPARTY,COUNTYCODE,ED,LD,TOWNCITY,WARD,CD,SD,AD,LASTVOTERDATE,PREVYEARVOTED,PREVCOUNTY,PREVADDRESS,PREVNAME,COUNTYVRNUMBER,REGDATE,VRSOURCE,IDREQUIRED,IDMET,STATUS,REASONCODE,INACT_DATE,PURGE_DATE,SBOEID,voterhistory
BURTON,MARISSA,,,2136,,,MARTINEZ AVENUE,,,,,VESTAL,13903,,,,,,19400809,F,BLK,,04,24,6,Windsor,2,19,52,121,20040413,,,,,3563646,19901228,DMV,Y,N,A,,,,NY34d2065c-7638-,2023 General Election(A);2022 Primary Election(E);2021 General Election(P);2017 General Election(P);2016 Presidential Primary Election(P);2010 Primary Election(E);2008 Presidential Primary Election(E);2004 Presidential Primary Election(P);2003 General Election(P);2002 Primary Election(E);2002 General Election(P)
HEATH,ASHLEY,,,2312,,,KEITH FERRY,,,,,VESTAL,13905,,,,,,19721018,F,REP,,04,14,7,Kirkwood,4,19,52,123,20100625,,,,,7360682,19900805,MAIL,N,N,A,,,,NYf227373b-0303-,2014 Primary Election(P)
HAYES,MARK,,,2929,,,MURRAY GROVE,,,,,ENDICOTT,13903,,,,,,19650519,F,DEM,,04,6,13,Maine,13,19,52,121,20110914,,,,,7217147,19861001,CBOE,N,Y,I,,,,NY0ee7cb87-2f32-,2010 General Election(P)
WATSON,NATHAN,,,2025,,,DARREN PORT,,APT,,,ENDICOTT,13790,,,,,,19650819,F,BLK,,04,20,9,City Binghamton,9,19,52,121,20020424,,,,,7818732,19970808,AGCY,Y,N,A,,,,NY2927c2a9-fb57-,2024 General Election(M);2022 General Election(M);2016 Presidential Primary Election(P);2011 General Election(P);2009 General Election(P);2008 Primary Election(P);2001 General Election(P);2000 Primary Election(P)
SHEA,LARRY,,,2901,,,MIRANDA PARKWAY,,,,,BINGHAMTON,13760,,,,,,19300508,M,DEM,,04,30,2,City Binghamton,10,19,52,123,20150815,,,,,6716097,19980227,DMV,Y,N,A,MAIL-CHECK,,,NYe3c21aaf-fcf9-,2019 General Election(P);2015 General Election(P);2014 Primary Election(E);2013 General Election(P);2012 General Election(O);2006 General Election(P);2000 Primary Election(P)
CHEN,WILLIAM,R,,1846,,,NUNEZ FIELD,,,,,BINGHAMTON,13850,,,,,,19260406,F,DEM,,04,35,2,Lisle,4,19,52,123,20201022,,,,,4318855,19961103,AGCY,Y,Y,A,,20170202,,NYf887e1f1-e6bc-,2025 General Election(A);2023 General Election(P);2022 General Election(P);2021 General Election(P);2020 Presidential Primary Election(P);2017 General Election(P);2016 Primary Election(P);2012 Presidential Primary Election(P);2011 General Election(P);2010 Primary Election(P);2009 General Election(P);2008 Presidential Primary Election(P);2004 General Election(P);2004 Presidential Primary Election(P);2004 Primary Election(P);2003 General Election(P);2002 General Election(P)
RILEY,PAMELA,D,,2842,,,RIVERA KEY,,,,,VESTAL,13901,,,,,,19310611,F,BLK,,04,14,6,Town Binghamton,13,19,52,123,20160122,,,,,8750676,19850812,AGCY,Y,Y,A,,,,NY20325613-2b62-,2021 General Election(E);2020 Presidential Primary Election(P);2018 General Election(E);2014 General Election(P)
JONES,GEORGE,,,1935,,,STEFANIE LOCKS,,,,,VESTAL,13850,,,,,,19631209,M,REP,,04,20,13,Chenango,6,19,52,124,20080110,,,,,6008935,20111210,AGCY,Y,N,A,,,,NYd3034125-8cc3-,2021 General Election(P);2019 Primary Election(P)
BYRD,MALLORY,,,3581,,,WILLIAMS BROOKS,,APT,,,VESTAL,13901,,,,,,20020105,M,DEM,,04,18,2,Colesville,13,19,52,123,20101023,,,,,7668663,20210316,CBOE,N,N,A,MAIL-CHECK,,,NY14605a91-41e1-,2025 General Election(P);2023 General Election(E)
LYONS,CHRISTIAN,,,1469,,,JO COURTS,,,,,ENDWELL,13795,,,,,,19470102,M,DEM,,04,13,10,Chenango,10,19,52,124,20070819,,,,,3401116,20080323,DMV,N,N,A,,,,NYeecf3fb4-e047-,2018 Primary Election(E);2016 Primary Election(E);2016 Presidential Primary Election(P);2010 Primary Election(A)
JENKINS,ANTHONY,A,II,3412,,,STANLEY FLATS,,APT,,,ENDICOTT,13790,,,,,,19180119,M,DEM,,04,14,11,Lisle,11,19,52,121,20200221,,,,,1661401,19811113,MAIL,N,Y,A,,,,NY2d5508f3-b1ed-,2008 General Election(P)
VASQUEZ,ANDREA,,,1617,,,RIVERA CANYON,,,,,VESTAL,13790,,,,,,19521222,F,DEM,,04,26,2,Lisle,4,19,52,123,20001018,,,,,6503032,19890428,DMV,Y,N,A,MAIL-CHECK,,,NYd341a696-ac2a-,2012 Primary Election(P)
WRIGHT,VERONICA,,,2809,,,ROSE VALLEY,,,6,,BINGHAMTON,13795,,,,,,19150815,F,REP,,04,6,14,Colesville,2,19,52,124,20061121,,,,,1358318,19821212,CBOE,N,Y,A,MAIL-CHECK,,,NY5c8401ba-5ff4-,2000 Presidential Primary Election(P)
MURPHY,ANNA,,,2155,,,CHAD PARKWAY,,,,,VESTAL,13790,,,,,,19160309,M,BLK,,04,15,10,City Binghamton,12,19,52,124,20160515,,,,,1522621,19951011,CBOE,N,N,A,,,,NYbb8374ed-e308-,2008 Presidential Primary Election(A);2000 Primary Election(P)
ALLEN,CONNIE,,,1749,,,JACOB VIEW,,,,,ENDICOTT,13904,,,,,,19490813,M,BLK,,04,13,2,Chenango,2,19,52,124,20230626,,,,,3182975,20080414,CBOE,N,Y,A,,,,NY9de868ef-4730-,2024 Presidential Primary Election(P);2024 General Election(F);2020 Presidential Primary Election(P);2018 Primary Election(P);2018 General Election(P);2016 Presidential Primary Election(P);2016 General Election(P);2014 Primary Election(A);2012 Presidential Primary Election(P);2012 General Election(E);2008 Presidential Primary Election(P);2008 General Election(P)
FLORES,MICHAEL,D,,2594,,,CHRISTOPHER LOCKS,,APT,,,ENDWELL,13850,,,,,,19770319,F,DEM,,04,24,3,Kirkwood,5,19,52,124,20101020,,,,,2425342,20020106,CBOE,Y,Y,A,,,,NY060e47b5-97a3-,2024 Primary Election(P);2022 General Election(M);2020 General Election(P);2020 Primary Election(M);2018 General Election(M);2014 General Election(P);2010 General Election(P)
ALVAREZ,CLARENCE,,,943,,,WHITE UNION,,,6,,BINGHAMTON,13795,,,,,,19540706,M,DEM,,04,35,2,Kirkwood,10,19,52,123,20180723,,,,,8007741,19870116,MAIL,Y,N,I,,,,NYe570d4c2-1a9b-,2020 Primary Election(A);2019 General Election(M);2018 General Election(M);2006 Primary Election(E)
WILLIAMS,DANIEL,,,309,,,DAVID STREETS,,,,,VESTAL,13904,,,,,,19180320,F,REP,,04,23,14,Lisle,6,19,52,121,20140216,,,,,8419020,19860309,MAIL,N,Y,A,,,,NYce2c1fbf-7886-,2018 General Election(P);2006 General Election(P);2005 General Election(P)
MADDEN,PETER,,,161,,,JOSE DIVIDE,,,,,VESTAL,13905,,,,,,19850623,F,BLK,,04,22,7,Chenango,13,19,52,123,20211002,,,,,6614484,20080226,CBOE,N,Y,A,,,,NY85994332-266e-,2024 Primary Election(P);2024 Presidential Primary Election(E);2024 General Election(A);2022 General Election(E);2022 Primary Election(E);2020 Presidential Primary Election(P);2020 General Election(A);2020 Primary Election(A);2018 Primary Election(E);2018 General Election(A);2016 General Election(D);2016 Presidential Primary Election(P);2016 Primary Election(A);2014 Primary Election(A);2014 General Election(A);2012 Primary Election(P);2012 General Election(P);2012 Presidential Primary Election(A);2010 General Election(P);2008 General Election(P);2008 Presidential Primary Election(P);2008 Primary Election(A)
FARRELL,MORGAN,,,3406,,,CAIN JUNCTIONS,,,,,ENDICOTT,13904,,,,,,19810320,M,REP,,04,9,8,Maine,5,19,52,124,20140418,,,,,5012581,20220625,MAIL,N,Y,A,,20220825,,NY0d4513fd-3273-,2024 General Election(P);2022 General Election(A)
RODGERS,KEVIN,B,,3126,,,ALEX RIDGE,,,,,ENDWELL,13905,,,,,,19580618,F,REP,,04,15,14,Colesville,15,19,52,123,20000702,,,,,7651393,19831116,MAIL,Y,N,A,MAIL-CHECK,,,NY6054a4f0-ac80-,2015 General Election(P);2014 General Election(A);2012 Presidential Primary Election(P);2012 Primary Election(P);2005 General Election(P);2004 Primary Election(P)
WILLIAMSON,ALEXANDRA,,,3428,,,JACOBSON LANDING,,APT,,,BINGHAMTON,13850,,,,,,19340721,M,BLK,,04,1,10,Kirkwood,4,19,52,124,20130322,,,,,2436363,19990202,MAIL,Y,Y,A,,,,NYf00197e0-bb13-,2024 General Election(P);2019 General Election(A);2016 General Election(P);2016 Presidential Primary Election(P);2015 General Election(F);2010 Primary Election(P);2008 General Election(P);2004 General Election(P)
PITTMAN,RICHARD,,,2650,,,BRANDY TURNPIKE,,,,,BINGHAMTON,13790,,,,,,19340727,F,DEM,,04,26,7,Chenango,12,19,52,123,20120606,,,,,9324908,19820610,AGCY,N,N,A,,,,NY99172875-789b-,2024 Primary Election(M);2020 General Election(A);2019 General Election(P);2008 General Election(P);2006 General Election(P);2004 Presidential Primary Election(P);2003 General Election(A)
MOORE,NICHOLAS,,,967,,,NUNEZ LOOP,,,,,VESTAL,13901,,,,,,19391126,M,DEM,,04,26,6,Colesville,13,19,52,121,20180317,,,,,7156398,19810328,AGCY,N,N,A,,,,NYd1976183-370d-,2022 Primary Election(P);2013 General Election(P);2011 General Election(P);2008 General Election(A);2000 Presidential Primary Election(P)
ALLEN,KENNETH,G,,2084,,,SWEENEY HARBORS,,,3,,ENDICOTT,13904,,,,,,19281223,M,BLK,,04,26,8,Windsor,3,19,52,124,20020210,,,,,7680015,19980528,AGCY,N,N,A,,,,NYb07eb794-3893-,2025 General Election(P);2024 General Election(A);2024 Presidential Primary Election(P);2024 Primary Election(P);2023 General Election(P);2021 General Election(A);2020 General Election(P);2020 Primary Election(P);2020 Presidential Primary Election(A);2018 Primary Election(P);2017 General Election(P);2016 General Election(P);2016 Primary Election(P);2015 General Election(P);2014 Primary Election(P);2012 Primary Election(P);2012 General Election(P);2011 General Election(P);2010 General Election(P);2009 General Election(P);2008 Primary Election(P);2008 General Election(P);2007 General Election(E);2005 General Election(P);2004 Presidential Primary Election(P);2004 General Election(P);2003 General Election(P);2002 General Election(P);2001 General Election(P);2000 General Election(E)
CLEMENTS,SAMANTHA,,,1238,,,KATHRYN FLATS,,,7,,JOHNSON CITY,13904,,,,,,19760116,M,BLK,,04,16,8,Chenango,8,19,52,123,20060620,,,,,3410360,20160720,MAIL,N,N,A,MAIL-CHECK,,,NY8894283b-3fe2-,2024 Primary Election(P);2024 General Election(P);2022 General Election(A);2022 Primary Election(P);2020 General Election(A);2020 Presidential Primary Election(M);2018 Primary Election(P);2018 General Election(M);2016 Primary Election(M);2016 Presidential Primary Election(P)
MCKEE,BRANDON,A,,1446,,,HORTON THROUGHWAY,,,,,ENDWELL,13904,,,,,,19320213,F,DEM,,04,12,7,Union,15,19,52,123,20230625,,,,,7765480,20110516,MAIL,Y,N,A,,,,NY5a044962-2831-,2017 General Election(P)
VALDEZ,KELLY,D,,2923,,,DEBRA ISLAND,,,,,VESTAL,13905,,,,,,19610913,M,DEM,,04,23,3,Chenango,10,19,52,124,20091011,,,,,9511333,20030307,AGCY,N,N,A,,,,NYe0bdb674-9626-,2005 General Election(P)
RAMOS,ELIZABETH,,,1285,,,GRANT FORGE,,,,,ENDICOTT,13795,,,,,,19111023,F,DEM,,04,4,12,Union,9,19,52,121,20170622,,,,,9025733,19891108,AGCY,N,Y,A,,,,NY60a822df-4862-,2022 General Election(E);2022 Primary Election(E);2021 General Election(P);2018 Primary Election(E);2018 General Election(D);2016 Primary Election(P);2016 General Election(A);2015 General Election(A);2014 General Election(A);2013 General Election(P);2012 Presidential Primary Election(A);2011 General Election(P);2009 General Election(P);2008 Presidential Primary Election(P);2007 General Election(A);2004 General Election(M);2004 Primary Election(P);2002 General Election(P);2000 Presidential Primary Election(A)
BAKER,TARA,,,2522,,,MICHAEL BRIDGE,,,,,BINGHAMTON,13850,,,,,,19820909,M,BLK,,04,29,6,Colesville,2,19,52,124,20240301,,,,,3649811,20100407,AGCY,N,N,A,,,,NYbac533f5-ecfa-,2010 General Election(A)
JOHNSON,JASMINE,J,,2327,,,CLARK PARKWAYS,,,6,,JOHNSON CITY,13904,,,,,,19841228,F,BLK,,04,7,14,Windsor,8,19,52,123,20060211,,,,,3726201,20050806,AGCY,N,Y,A,,,,NYe1463864-76e1-,2021 General Election(P);2013 General Election(E);2011 Primary Election(P)
DOUGLAS,HANNAH,,,968,,,EVELYN BRIDGE,,,,,JOHNSON CITY,13905,,,,,,19671001,F,OTH,,04,17,12,Town Binghamton,11,19,52,123,20111008,,,,,4676367,20010519,DMV,N,Y,I,,20200723,,NY8ed269db-4327-,2021 General Election(P);2019 General Election(P);2017 Primary Election(P)
BLACKWELL,WESLEY,J,,1825,,,JACQUELINE BROOKS,,APT,,,ENDWELL,13795,,,,,,19760423,F,DEM,,04,33,8,Lisle,13,19,52,123,20230113,,,,,5269083,20130804,CBOE,Y,Y,A,,,,NY2df1d7f0-3f5e-,2025 General Election(A);2017 General Election(A);2015 General Election(A)
LEACH,JOSEPH,J,,2201,,,MURPHY UNDERPASS,,,,,ENDICOTT,13901,,,,,,19770321,M,REP,OTH,04,21,7,Windsor,7,19,52,121,20070812,,,,,3602504,20231128,MAIL,Y,Y,A,,,,NY91a81c9e-f349-,2023 General Election(P)
TURNER,ROBERT,A,,1185,,,MITCHELL STREAM,,,10,,JOHNSON CITY,13790,,,,,,19400808,M,BLK,,04,18,11,Windsor,4,19,52,123,20090502,,,,,3938247,19951202,AGCY,N,Y,A,MAIL-CHECK,20210911,,NY9c76cd2c-cb99-,2025 General Election(P);2024 General Election(P);2022 Primary Election(E);2012 Presidential Primary Election(P);2010 General Election(P);2005 General Election(P)
SHANNON,DANIELLE,,,3296,,,JENNIFER STREET,,,,,ENDWELL,13850,,,,,,19461020,F,DEM,,04,24,5,City Binghamton,4,19,52,121,20230224,,,,,9034958,19830513,DMV,Y,N,A,MAIL-CHECK,,,NYfbfd679c-dbcc-,2024 General Election(M);2022 Primary Election(F);2021 General Election(O);2018 General Election(A);2016 Primary Election(P);2015 General Election(P);2012 Presidential Primary Election(P);2011 General Election(P);2010 Primary Election(P);2006 Primary Election(A);2004 Presidential Primary Election(P);2004 Primary Election(P);2003 General Election(A);2002 Primary Election(A)
HOLT,ERIK,,,3002,,,WILLIAMS POINTS,,,,,ENDWELL,13904,,,,,,19570824,M,BLK,IND,04,36,1,Town Binghamton,14,19,52,124,20010114,,,,,3306725,20211111,DMV,Y,Y,A,,,,NY659b75f3-d534-,2025 General Election(P);2023 General Election(P);2023 Primary Election(P);2021 General Election(P);2021 General Election(P)
TORRES,JENNIFER,,,3727,,,JESSICA CANYON,,,9,,ENDICOTT,13850,,,,,,19180927,M,REP,,04,14,14,Kirkwood,5,19,52,123,20020613,,,,,8700704,19970910,DMV,Y,N,A,,,,NYef2538d7-3666-,2011 General Election(P)
PEARSON,JESSICA,E,,3484,,,TRAN CORNERS,,,10,,ENDICOTT,13795,,,,,,19890222,M,REP,,04,9,10,Chenango,11,19,52,124,20100725,,,,,3347981,20100502,CBOE,N,Y,A,,,,NY6bf96ac1-84cf-,2024 Primary Election(M);2024 General Election(P);2022 Primary Election(P);2022 General Election(M);2020 General Election(O);2020 Primary Election(A);2018 General Election(E);2018 Primary Election(P);2016 Primary Election(P);2016 General Election(P);2014 General Election(E);2014 Primary Election(M);2012 General Election(P);2012 Primary Election(P);2010 General Election(P)
FERGUSON,SONIA,,,1105,,,LARSON STREETS,,,,,VESTAL,13904,,,,,,19300201,F,REP,,04,13,6,Windsor,2,19,52,124,20190628,,,,,7463219,20040612,CBOE,N,N,A,,,,NY4036e5a1-0ef7-,2024 Presidential Primary Election(P);2020 Primary Election(M);2016 General Election(P);2012 General Election(P);2010 Primary Election(M);2010 General Election(E)
SIMMONS,DARLENE,,,1764,,,THOMPSON ISLANDS,,APT,10,,ENDICOTT,13760,,,,,,19401013,F,DEM,,04,10,8,Kirkwood,3,19,52,123,20100524,,,,,9237735,19990113,DMV,N,N,A,,,,NY66600986-c780-,2020 Presidential Primary Election(A);2018 General Election(P);2016 Primary Election(P);2016 Presidential Primary Election(F);2008 General Election(P);2008 Presidential Primary Election(A);2006 Primary Election(P);2005 General Election(P);2004 Primary Election(P);2004 Presidential Primary Election(O);2001 General Election(P)
COOPER,GEORGE,S,,1017,,,GARCIA FORGES,,,,,ENDWELL,13901,,,,,,19460623,F,BLK,LBT,04,31,2,City Binghamton,2,19,52,123,20070924,,,,,9703982,20240718,DMV,N,N,A,,,,NYa31d09b6-521b-,2024 Primary Election(M)
STEVENS,ANTHONY,,,3213,,,RODRIGUEZ VIEW,,,,,VESTAL,13903,,,,,,19651205,F,REP,,04,34,6,Town Binghamton,5,19,52,121,20220201,,,,,6755892,19850227,CBOE,Y,Y,A,,,,NYab460512-798d-,2024 General Election(O);2024 Presidential Primary Election(M);2024 Primary Election(P);2022 General Election(P);2022 Primary Election(P);2016 Primary Election(A);2016 Presidential Primary Election(P);2015 General Election(A);2014 General Election(P);2014 Primary Election(P);2012 General Election(E);2009 General Election(M);2006 Primary Election(P);2005 General Election(P);2003 General Election(A)
SUMMERS,MARK,,,2760,,,CUNNINGHAM PORT,,,,,ENDWELL,13903,,,,,,19470628,M,DEM,,04,9,5,Town Binghamton,3,19,52,123,20220317,,,,,7517332,20051004,AGCY,Y,N,A,,,,NY6d20fd39-3122-,2019 Primary Election(A);2015 Primary Election(T);2011 General Election(T)
FULLER,NICHOLAS,T,,1126,,,MICHAEL EXTENSIONS,,,,,VESTAL,13904,,,,,,19331001,M,BLK,,04,20,13,Windsor,14,19,52,123,20170125,,,,,8404902,20080806,DMV,N,Y,I,,,,NYb1f7f48f-4729-,2024 Presidential Primary Election(M);2022 Primary Election(E);2020 General Election(P);2020 Primary Election(P);2018 General Election(P);2016 General Election(P);2014 General Election(P);2010 Primary Election(P);2008 General Election(P)
BARNES,SCOTT,,,1186,,,WILLIAM CLIFFS,,,9,,BINGHAMTON,13905,,,,,,19600906,F,DEM,LBT,04,7,12,Union,4,19,52,121,20220627,,,,,5153279,20020909,AGCY,N,Y,A,,,,NYfa0ecfff-43c4-,2024 Primary Election(P);2024 General Election(A);2016 Primary Election(E);2006 General Election(P)
KENT,NICOLE,,,1384,,,ROBINSON ROW,,,,,VESTAL,13790,,,,,,19770416,M,REP,,04,35,1,Town Binghamton,15,19,52,121,20140801,,,,,8177281,20050414,DMV,Y,N,A,,20190221,,NY70b71450-4d4c-,2025 General Election(P);2023 General Election(P);2019 General Election(P);2017 General Election(P);2013 General Election(A);2011 General Election(P);2009 Primary Election(P);2005 General Election(P);2005 General Election(A)
PORTER,TIMOTHY,K,,1506,,,RICHARD MISSION,,APT,,,ENDICOTT,13905,,,,,,19220703,M,REP,,04,1,10,Lisle,3,19,52,123,20111207,,,,,3539636,19880803,AGCY,N,Y,A,,,,NY81cb46b5-2c88-,2024 General Election(E);2010 Primary Election(P);2001 General Election(P);2000 Presidential Primary Election(P)
ROGERS,CHAD,,,2614,,,VANESSA MEADOWS,,,,,BINGHAMTON,13790,,,,,,19980416,F,REP,,04,29,6,Windsor,11,19,52,121,20240825,,,,,2224599,20210126,CBOE,Y,Y,A,,,,NY1a6c5aff-aa97-,2025 General Election(M);2025 Primary Election(P);2025 General Election(P);2023 General Election(E);2023 General Election(P);2023 Primary Election(P);2021 General Election(E);2021 General Election(P);2021 Primary Election(O)
JORDAN,CAROLINE,A,,1792,,,MICHAEL MANOR,,,1,,ENDICOTT,13903,,,,,,19711125,F,REP,,04,4,5,Lisle,12,19,52,124,20230304,,,,,1212482,20140613,DMV,Y,Y,A,,,,NY2d65277d-8913-,2022 General Election(P);2016 General Election(P);2014 Primary Election(P)
TAYLOR,SARAH,,,2047,,,WANDA BURGS,,APT,,,ENDICOTT,13760,,,,,,19560216,M,DEM,,04,6,4,Windsor,1,19,52,121,20000402,,,,,8914896,19961219,MAIL,N,Y,A,,20150926,,NYad27acd9-422d-,2022 Primary Election(P)
FULLER,ELIZABETH,,,3030,,,SHERMAN WALL,,,,,ENDWELL,13904,,,,,,19050607,M,BLK,,04,21,13,Vestal,3,19,52,121,20130108,,,,,6812025,19850915,CBOE,N,Y,A,,,,NYf03cfdb4-0db8-,2023 General Election(P);2016 General Election(P);2012 Presidential Primary Election(P);2007 General Election(P)
PEREZ,ROBERT,L,,3486,,,ESPARZA CREST,,,6,,JOHNSON CITY,13904,,,,,,19070722,F,DEM,,04,10,3,Maine,2,19,52,121,20030315,,,,,8819107,19841019,MAIL,N,Y,A,,20180810,,NY072185d9-b154-,2020 Presidential Primary Election(P);2008 Presidential Primary Election(P)
CARROLL,STANLEY,,,498,,,ASHLEY UNIONS,,,4,,ENDICOTT,13850,,,,,,19500215,F,DEM,,04,13,10,Maine,5,19,52,121,20000207,,,,,8439543,20151218,DMV,Y,N,A,,20150319,,NYaf1a7a92-0a99-,2025 General Election(P);2023 Primary Election(P);2021 Primary Election(P);2021 General Election(P);2017 Primary Election(P);2015 Primary Election(A)
CAMACHO,VINCENT,,,2154,,,CAROL UNDERPASS,,,9,,BINGHAMTON,13795,,,,,,19270314,F,BLK,,04,30,6,Maine,9,19,52,123,20120506,,,,,1437264,19830209,MAIL,Y,Y,A,,,,NYa9d24d61-f632-,2025 General Election(A);2024 General Election(P);2024 Presidential Primary Election(P);2024 Primary Election(P);2022 General Election(P);2021 General Election(P);2020 Presidential Primary Election(E);2018 General Election(P);2018 Primary Election(A);2017 General Election(P);2015 General Election(P);2014 General Election(P);2013 General Election(P);2011 General Election(E);2010 General Election(P);2008 Primary Election(A);2008 Presidential Primary Election(P);2004 General Election(P);2003 General Election(P);2002 General Election(P);2001 General Election(P);2000 Presidential Primary Election(P);2000 General Election(P)
CRAIG,CHRISTY,,,3764,,,THOMPSON CROSSING,,APT,1,,BINGHAMTON,13905,,,,,,19541007,M,DEM,,04,36,14,Kirkwood,2,19,52,123,20221113,,,,,2695038,20130801,MAIL,N,N,A,,,,NY3ebe071e-e91c-,2013 General Election(P)
TATE,CHELSEA,,,3313,,,MICHAEL DIVIDE,,APT,,,ENDWELL,13903,,,,,,19981002,F,BLK,,04,11,4,Kirkwood,6,19,52,121,20200227,,,,,6632941,20241013,AGCY,Y,N,A,,,,NY3dfab3b9-517f-,2024 Primary Election(P)
